grupo;codigo;codigo_pai;nivel;lancavel;usa_tipo_folha;rotulo_curto;atividade_completa;entrega_esperada
PARLAMENTARES;;26;2;SIM;NAO;Após o lançamento da frequência no sistema;Após o lançamento da frequência no sistema, calcular a folha para o desconto das faltas dos parlamentares ou reembolso de descontos de faltas justificadas.;
PARLAMENTARES;27;;1;NAO;NAO;Acompanhar os e-mails;Acompanhar os e-mails, especialmente no que se refere às movimentações parlamentares;
PARLAMENTARES;;27;2;SIM;NAO;Triagem de movimentações parlamentares;Verificar no e-mails a existência de movimentações parlamentares que possam impactar na folha de pagamento, tais como afastamento/retorno de titulares, posse ou saída de suplentes;
COMISSIONADOS;1;;1;NAO;NAO;Gerir a folha de pagamento de servidores;"I - gerir a folha de pagamento de servidores comissionados (Secretários parlamentares e Cargos de natureza especial);";
COMISSIONADOS;;1;2;SIM;NAO;Conferir e executar eventos de gestão;"conferir e executar eventos de gestão que iniciam ou que repercutem no processo da folha de pagamento de comissionados;";
COMISSIONADOS;;1;2;SIM;NAO;Ajustar os contracheques negativos;ajustar os contracheques negativos com mudança de grupo para controle e monitoramento dos servidores que mudam de sp para cne e vice e versa.;
COMISSIONADOS;;1;2;SIM;NAO;Monitorar as implicações de pagamaento;monitorar as implicações de pagamaento decorrentes do início e fim do auxílio-doença do servidor;
COMISSIONADOS;;1;2;SIM;NAO;Monitorar servidores fora da folha exonerados;monitorar servidores fora da folha exonerados na folha e com contas inconsistentes;
COMISSIONADOS;;1;2;SIM;NAO;Monitorar as rubricas duplicadas;monitorar as rubricas duplicadas, novas e com mais de 5 anos;
COMISSIONADOS;;1;2;SIM;NAO;Conferir e corrigir valores de gratificação;conferir e corrigir valores de gratificação natalina de exonerados e de licença gestante;
COMISSIONADOS;;1;2;SIM;NAO;Conferir e corrigir valores de indenização;conferir e corrigir valores de indenização de férias para servidores exonerados no mês;
COMISSIONADOS;;1;2;SIM;NAO;Gerir os valores de remuneração (inclusive;gerir os valores de remuneração (inclusive faltas) do mês anterior e atual;
COMISSIONADOS;;1;2;SIM;NAO;Confere aux alimentação mes anterior e atual;confere aux alimentação mes anterior e atual;
COMISSIONADOS;;1;2;SIM;NAO;Conferir e corrigir valores do auxílio;conferir e corrigir valores do auxílio pré-escolar do mês anterior e atual;
COMISSIONADOS;;1;2;SIM;NAO;Conferir e corrigir os valores;conferir e corrigir os valores do auxílio-transporte do mês anterior e atual;
COMISSIONADOS;;1;2;SIM;NAO;Gerir o pagamento do salário-familia do mês;gerir o pagamento do salário-familia do mês anterior e atual;
COMISSIONADOS;;1;2;SIM;NAO;Gerir o pagamento de adicional de férias;gerir o pagamento de adicional de férias do mês anterior e atual, corrigindo iclusive o período aquisitivo das férias, se necessário.;
COMISSIONADOS;;1;2;SIM;NAO;Gerir o usufruto de férias;gerir o usufruto de férias;
COMISSIONADOS;;1;2;SIM;NAO;Verificar e corrigir início e fim de RPPS;verificar e corrigir início e fim de RPPS e RGPS (regimes de previdência);
COMISSIONADOS;;1;2;SIM;NAO;Verificar e corrigir situações de servidores;verificar e corrigir situações de servidores que mudaram de RPPS e RGPS, além das rubricas de débito;
COMISSIONADOS;;1;2;SIM;NAO;Conferir e ajustar INSS de qualquer mês;conferir e ajustar INSS de qualquer mês;
COMISSIONADOS;;1;2;SIM;NAO;Conferir as rubricas 470 e 580;conferir as rubricas 470 e 580;
COMISSIONADOS;;1;2;SIM;NAO;Gerir o pagamento de servidores ativos;gerir o pagamento de servidores ativos com débitos com a Câmara;
COMISSIONADOS;;1;2;SIM;NAO;Conferir o imposto de renda normal;conferir o imposto de renda normal e o da gratificação natalina do mês atual;
COMISSIONADOS;;1;2;SIM;NAO;Gerir a remuneração do servidor cedido;gerir a remuneração do servidor cedido com ou sem ônus para a origem;
COMISSIONADOS;;1;2;SIM;NAO;Controlar e monitorar a base externa;controlar e monitorar a base externa para efeito de teto constitucional do servidor requisitado;
COMISSIONADOS;;1;2;SIM;NAO;Monitar a previdência do servidor que optou;monitar a previdência do servidor que optou pela remuneração do cargo em comissão;
COMISSIONADOS;;1;2;SIM;NAO;Monitar o pagameto de servidor ativo sem;monitar o pagameto de servidor ativo sem vínculo e sem desconto de inss;
COMISSIONADOS;;1;2;SIM;NAO;Conferir o teto constitucional dos servidores;conferir o teto constitucional dos servidores do mês anterior e atual;
COMISSIONADOS;;1;2;SIM;NAO;Conferir e corrigir os descontos;conferir e corrigir os descontos das consignações novas;
COMISSIONADOS;;1;2;SIM;NAO;Conferir e corrigir os desocntos;conferir e corrigir os desocntos das consignações de servidores exonerados;
COMISSIONADOS;;1;2;SIM;NAO;Monitorar e corrigir os descontos;monitorar e corrigir os descontos das consignações que não constam no mês atual;
COMISSIONADOS;;1;2;SIM;NAO;Conferir CPF, fórmulas e inclusão de auxílio;conferir CPF, fórmulas e inclusão de auxílio pré-escolar na implementação da pensão alimentícia;
COMISSIONADOS;;1;2;SIM;NAO;Conferir o pagamento de sessões noturnas;conferir o pagamento de sessões noturnas;
COMISSIONADOS;;1;2;SIM;NAO;Conferir o pagamento dos valores;conferir o pagamento dos valores referente à frequência mensal e horas extras;
COMISSIONADOS;;1;2;SIM;NAO;Importar dados do auxílio-saúde (planos;importar dados do auxílio-saúde (planos de saúde dos servidores comissionados);
COMISSIONADOS;;1;2;SIM;NAO;Conferir rubricas 2930;conferir rubricas 2930, que informa saldo insuficiente de servidor;
COMISSIONADOS;;1;2;SIM;NAO;Conferir situação de exonerados;conferir situação de exonerados pós-fechamento com débitos para bloqueio de pagamento;
COMISSIONADOS;;1;2;SIM;NAO;Regularizar créditos pendentes;"regularizar créditos pendentes;";
COMISSIONADOS;;1;2;SIM;NAO;Monitorar os servidores empossados;monitorar os servidores empossados pós-fechamento da folha, com indenização de férias no contracheque, para exclusão da indenização e bloqueio do pagamento.;
COMISSIONADOS;2;;1;SIM;NAO;Calcular e pagar direitos devidos;"II - realizar os cálculos e promover o devido pagamento dos subsídios, remunerações, proventos, pensões e benefícios;";
COMISSIONADOS;3;;1;NAO;NAO;Organizar e manter atualizado o controle;"III - organizar e manter atualizado o controle dos registros relativos ao pagamento de pessoal;";
COMISSIONADOS;;3;2;SIM;NAO;Planilha de controle de débitos;elaborar e controlar planilha de débitos (com número de processo correlato) de servidores exonerados para emissão de GRU e criação de processos de cobrança;
COMISSIONADOS;4;;1;SIM;NAO;Impacto orçamentário;"IV - apurar eventuais impactos orçamentários concernentes a despesas relativas à sua área de atuação;";
COMISSIONADOS;5;;1;NAO;NAO;Cadastro de pensões alimentícias;"V - proceder e manter o cadastro de pensões alimentícias;";
COMISSIONADOS;;5;2;SIM;NAO;Cadastrar processo judicial e beneficiários;receber processos judiciais, cadastrar beneficiários e recebedores, cadastrar contas bancárias,incluir documento judicial no histórico funcional, incluir fórmulas de pagamento, elaborar despacho.;
COMISSIONADOS;6;;1;NAO;NAO;Averbação das consignações em folha;"VI - realizar a averbação das consignações em folha;";
COMISSIONADOS;;6;2;SIM;NAO;Transferir e monitorar as consignações;"transferir e monitorar as consignações nas mudanças de grupos SP-CNE e vice-versa;";
COMISSIONADOS;7;;1;NAO;NAO;Controle de descontos em folha;"VII - acompanhar e controlar os descontos em folha das penhoras judiciais;";
COMISSIONADOS;;7;2;SIM;NAO;Registrar processo judicial na ficha funcional;receber processos judiciais, incluir documento judicial no histórico funcional, incluir fórmulas de pagamento com as rubricas de descontos dos depósitos judiciais, elaborar despacho, criar processo e acompanhar os descontos.;
COMISSIONADOS;8;;1;SIM;NAO;Manter atualizada a margem consignável;"VIII - manter atualizada a margem consignável;";
COMISSIONADOS;9;;1;SIM;NAO;Preparar declarações de rendimentos;"IX - preparar declarações de rendimentos;";
COMISSIONADOS;10;;1;NAO;NAO;Expedir declarações;"X - expedir declarações;";
COMISSIONADOS;;10;2;SIM;NAO;Emitir de declaração de teto INSS DESCONTO;"emitir de declaração de teto INSS DESCONTO;";
COMISSIONADOS;;10;2;SIM;NAO;Emitir a RRC - relação das remunerações;"emitir a RRC - relação das remunerações contribuiçoes previdenciárias referente DTC - anexo V in128-2022;";
COMISSIONADOS;;10;2;SIM;NAO;Emitir declaração de situação previdenciária;"emitir declaração de situação previdenciária;";
COMISSIONADOS;;10;2;SIM;NAO;Emitir análises previdenciárias;"emitir análises previdenciárias para a Coordenação de Secretariado Parlamentar;";
COMISSIONADOS;;10;2;SIM;NAO;Emitir diversar outras declarações funcionais;emitir diversar outras declarações funcionais.;
COMISSIONADOS;11;;1;NAO;NAO;Cálculos de exoneração e vacância;"XI - elaborar cálculos referentes às exonerações, indenizações à gestante e demais obrigações trabalhistas previstas em lei;";
COMISSIONADOS;;11;2;SIM;NAO;Indenização por exoneração em gestação;"elaborar planilhas de cálculos de indenização por exoneração em estado gestacional e controlar o desembolso financeiro conforme exames e atestados apresentados;";
COMISSIONADOS;12;;1;NAO;NAO;Restituição de débitos ao erário;"XII - adotar providências imediatas para a restituição de débitos vinculados à folha de pagamento de pessoal;";
COMISSIONADOS;;12;2;SIM;NAO;Emissão de GRU de cobrança;"emissão de GRU de cobrança;";
COMISSIONADOS;;12;2;SIM;NAO;Apurar débitos e realizar processo;"apurar débitos e realizar processo de cobrança de débito de servidores exonerados;";
COMISSIONADOS;13;;1;NAO;NAO;Descontos do teto constitucional;"XIII - gerir os descontos do teto previsto no inciso Xl do art. 37 da Constituição Federal;";
COMISSIONADOS;;13;2;SIM;NAO;Gerir o monitoramento dos contracheques;gerir o monitoramento dos contracheques de cedidos nos meses de março e setembro para controle do teto constitucional e duplicidade de benefícios;
COMISSIONADOS;14;;1;SIM;NAO;Controle de descontos em folha;"XIV - acompanhar e controlar os descontos das contribuições previdenciárias;";
COMISSIONADOS;15;;1;NAO;NAO;Documentos de tempo de contribuição;"XV - emitir documentos complementares e necessários às declarações e certidões relativas à comprovação do tempo de contribuição;";
COMISSIONADOS;;15;2;SIM;NAO;Analisar a situação previdenciária;"analisar a situação previdenciária do servidor e informar períodos de contribuição e respectivos valores relativos aos diversos regimes previdenciários;";
COMISSIONADOS;16;;1;SIM;NAO;Informações previdenciárias a órgãos externos;"XVI - executar as tarefas relacionadas à apuração e ao fornecimento de informações de dados relativos à contribuição previdenciária de interesse de órgãos internos ou externos;";
COMISSIONADOS;17;;1;SIM;NAO;Procedimentos de área de atuação;"XVII - executar procedimentos relacionados à compensação financeira entre regimes previdenciários em sua área de atuação;";
COMISSIONADOS;18;;1;SIM;NAO;Envio de eventos e guias ao eSocial;"XVIII - realizar o acompanhamento e controle do envio de eventos, guias e documentos de sua área de atuação ao Sistema de Escrituração Digital das Obrigações Fiscais, Previdenciárias e Trabalhistas (e-Social), bem como promover os devidos ajustes, quando necessário;";
COMISSIONADOS;19;;1;NAO;NAO;Prestar informações da área;XIX - prestar informações relacionadas à sua área de atuação seja por telefone, seja presencialmente.;
COMISSIONADOS;;19;2;SIM;NAO;Fornecer informações e documentos solicitados;fornecer informações e documentos solicitados por órgãos internos e externos.;
COMISSIONADOS;20;;1;SIM;NAO;Processos administrativos disciplinares;XX - atuar como parte nos processos administrativos disciplinares, bem como fornecer informações e iniciar processos de cobrança quando determinado pela Diretoria Geral.;
